Nom,Rang,Naissance,Mort,Pays,Continent,Domaine,Description,Image,Merged Doc ID - PersonnagesInfuents,Merged Doc URL - PersonnagesInfuents,Link to merged Doc - PersonnagesInfuents,Document Merge Status - PersonnagesInfuents
Archimède,0011,-287,-212,Italie,Europe,MATHÉMATICIEN-NE,"Archimède de Syracuse est un scientifique grec de Sicile.
Il est considéré comme l’un des plus grands mathématiciens de l’Humanité.
Il décrit la poussée d’Archimède : la force que subit tout corps plongé dans un liquide.
Il s’intéresse beaucoup à la mécanique. En parlant de l’effet de levier, il dit : “donnez-moi un point d’appui et je soulèverai le monde”.
Il travaille sur l’infini et dit que les grains de sable sont en nombre fini.
Une grande partie de ses travaux concernent la géométrie.
Il aurait crié Eurêka ! (“j’ai trouvé !” en grec ancien) en courant nu à travers les rues de Syracuse après avoir trouvé la solution à un problème complexe. Il devait vérifier qu’une couronne était faite uniquement d’or. Dans son bain, il compris qu’en pesant la couronne, et en mesurant son volume par immersion dans l’eau, il pouvait calculer sa masse volumique et la comparer à l’or pur.
",https://i.imgur.com/yTJDt70.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Moïse,0012,-1391,-1271,Égypte,Afrique,RELIGIEUX-SE,"Moïse est le 1er prophète du judaïsme.
Pour les Juifs et les Chrétiens, il est l'auteur des 5 premiers livres de la Bible, le Pentateuque.
Il est le prophète le plus présent dans le Coran et annonce le prophète Mahomet.
Enfant, il est trouvé dans un panier en osier flottant sur l’eau et est adopté.
Il s’oppose aux Égyptiens qui maltraitent son peuple et il doit fuire dans le désert où il devient berger.
À 80 ans, il voit Dieu en buisson ardent qui lui ordonne d’amener les Hébreux en Terre promise. Mais Pharaon refuse de les laisser partir.
Dieu abat alors 10 terribles fléaux sur l’Égypte et les Hébreux s’enfuient.
Arrivé au mont Sinaï, il reçoit le Décalogue (les 10 commandements).
Dieu les punit à rester 40 ans dans le désert, car ils lui désobéissent. 
Moïse meurt à 120 ans, aux portes de la Terre promise.
",https://i.imgur.com/dYCK9Z0.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Mahomet,0013,570,632,Arabie Saoudite,Asie,RELIGIEUX-SE,"Mahomet est un chef religieux, politique et militaire arabe. Il est le fondateur et le prophète de l'Islam.
Il se distingue des gens de son âge en étant un modèle de perfection physique, intellectuelle et morale.
À 40 ans, il reçoit de l’archange Gabriel la révélation, la parole de Dieu. Durant 23 ans, Gabriel lui dicte des versets en arabe.
Il fonde l’Islam, dont les croyants deviendront les musulmans.
Il accomplit plusieurs miracles : la lune se sépare en 2, il fait tomber la pluie et fait jaillir l’eau de ses mains.
Suite à une vision, il invite les fidèles à prier tournés vers La Mecque et non plus vers Jérusalem.
Il conquiert La Mecque avec 10’000 soldats et ses habitants se convertissent à l’Islam.
Il possède 7 épées, 3 arcs, 3 cuirrasses, 3 lances et 1 bouclier.
Il meurt en 632 à Médine, après plusieurs défaites et plusieurs tentatives d’assassinat.",https://i.imgur.com/nxs7pSe.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Abraham,0014,Inconnue,Inconnue,Pays de Canaan,Asie,RELIGIEUX-SE,"Abraham est le père fondateur des religions juive, chrétienne et musulmane.
Il est l’initiateur du monothéisme, ancêtre du judaïsme et du christianisme. 
Il est aussi considéré comme un grand prophète dans l’Islam.
Il est le personnage principal du livre de la Genèse.
Il s’appelle initialement Abram, puis deviendra Abraham. Il est appelé Ibrahim dans le Coran.
À 75 ans, Dieu lui dit qu’il donnera le pays de Canaan à sa descendance et lui ordonne de s’y rendre.
À 100 ans il a un fils : Isaac.
Alors qu’Isaac est adolescent, Dieu lui ordonne de l’emmener au Mont Moriah et de le sacrifier. Une fois arrivés, Abraham construit un autel pour sacrifier son fils. Un messager de Dieu intervient et lui dit qu’il ne souhaite que mettre sa foi à l’épreuve.
Il meurt à 175 ans au pays de Canaan.
",https://i.imgur.com/o0lyqwH.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Adolf Hitler,0015,1889,1945,Allemagne,Europe,POLITICIEN-NE,"Adolf Hitler est un politicien allemand né en Autriche-Hongrie.
Il est le principal déclencheur de la 2nde guerre mondiale. Il la perd et l’Allemagne capitule le 8 mai 1945.
Il est considéré comme le mal absolu dans la mémoire collective.
En 1908, il échoue à l’école des beaux-arts par manque de travail.
Il crée le nazisme : doctrine totalitaire et impérialiste, basée sur le racisme biologique et l’antisémitisme.
En 1923, après un coup d’état échoué, il est jeté en prison et il écrit “Mein Kampf” dans lequel il décrit ses théories racistes.
Il est nommé chancelier le 30 janvier 1933.
Dans la nuit du 29 au 30 juin 1934, il organise l’élimination physique de ses opposants. C’est ce qu’on appelle la nuit des longs couteaux.
En août 1934, il est plébiscité Führer avec 85% des voies allemandes, Ce qui met fin à la démocratie et instaure la dictature.
",https://i.imgur.com/t8irL4v.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
W. A. Mozart,0016,1756,1791,Autriche,Europe,COMPOSITEUR-TRICE,"Wolfgang Amadeus Mozart est un compositeur de musique autrichien.
Il est considéré comme un virtuose au piano et au violon.
Dès 3 ans, il démontre déjà des facultés prodigieuse pour la musique.
Son père lui apprend le clavecin à 5 ans, et il compose ses premières musiques à 6 ans.
À 14 ans, il réécrit une œuvre complexe qui dure 15 minutes, en ne l’ayant écoutée qu’une seule fois.
Les nobles le traitent avec condescendance et son employeur, le prince-archevêque Colloredo, le traite régulièrement de crétin et de voyou.
Il est finalement renvoyé et s’installe comme indépendant.
Il devient franc-maçon à 28 ans.
Il travaille énormément et produit beaucoup d’oeuvres.
Il est endetté et souvent malade.
Il meurt à 35 ans après avoir composé presque 900 œuvres.
Mozart est devenu synonyme de génie et de maîtrise parfaite.
",https://i.imgur.com/Ce6KzcO.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Claude Ptolémée,0080,90,168,Grèce,Europe,ASTRONOME,"Claude Ptolémée est un astronome grec.
Il est un des inventeurs de la géographie.
Il écrit plusieurs livres de référence comme l’Almageste, la Géographie, les Harmoniques et l’Optique.
L’almageste est un livre sur l’astronomie qui permet de prédire précisément la position des astres.
L’almageste contient une liste de 1’022 étoiles et 48 constellations.
L’almageste restera un livre de référence pendant plus de 1’300 ans, ne recevant que de petites corrections.
La Géographie est un livre regroupant l’ensemble des connaissances concernant le monde de l’époque.
Les harmoniques est un livre de référence contenant les principes mathématiques de la musique.
L’Optique est un livre qui parle des propriétés de la lumière et expose une théorie de la vision.",https://i.imgur.com/eo8Tnds.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Nicolas Copernic,0207,1473,1543,Pologne,Europe,ASTRONOME,"Nicolas Copernic est un astronome, médecin et mathématicien polonais.
Il invente la théorie de l’héliocentrisme qui dit que le Soleil est au centre de l’Univers, et que la Terre lui tourne autour.
Contrairement au géocentrisme, cette théorie permet d’expliquer facilement les mouvements observés des planètes, et de mesurer les distances des planètes au Soleil.
Il est chanoine (un homme d’Église)
Ses théories vont contre les croyances de l’époque qui disent que la Terre est au centre de tout.
Il gardera sa théorie secrète pendant 36 ans par rigueur scientifique. En effet, il n’arrivera jamais à la faire correspondre parfaitement à ses observations.
En 1543, au moment de sa mort, sa théorie de l’héliocentrisme est publiée.
Son livre sera mis à l’Index (c’est-à-dire interdit par l’Église) en 1616 car il contredit trop les théories de l’époque.
",https://i.imgur.com/MBboHTK.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Johannes Kepler,0176,1571,1630,Allemagne,Europe,ASTRONOME,"Johannes Kepler est un astronome allemand.
Il est célèbre pour avoir étudié l’héliocentrisme de Nicolas Copernic.
Il découvre que les planètes ne tournent pas autour du Soleil en suivant des cercles mais en suivant des ellipses et en établit 3 lois.
Ces lois seront utilisées par Isaac Newton pour décrire la théorie de la gravitation universelle.
Il est invité par Tycho Brahe pour calculer l’orbite de Mars. Il pensait que ça lui prendrait quelques semaines, mais ça lui prendra 6 ans.
Il invente le mot Satellite (qui veut dire ""Garde du corps"" en Latin) pour désigner les lunes de Jupiter.
Il a grandi dans des conditions difficiles avec un père mercenaire dans l’armée et une mère qu’il disait petite, maigre et querelleuse.
Il est un précurseur de la science-fiction et écrit un livre sur la perception de notre monde vu par une personne sur la lune.
",http://edu.techmania.cz/sites/default/files/vedci/insert/kepler_portret.gif,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Tycho Brahe,0516,1546,1601,Danemark,Europe,ASTRONOME,"Tycho Brahe est un astronome danois.
Il rompt avec la tradition en donnant la priorité à l'observation et à la validation de ses hypothèses.
Ses observations des astres et des planètes sont au moins 10 fois plus précises que celles de ses prédécesseurs en Europe.
Il effectue cependant ses observations à l’oeil nu et est le dernier astronome avant l’invention de la lunette astronomique.
Il rejette le système héliocentrique et préfère établir un système mixte dit géo-héliocentrique : la Terre est au centre de l’Univers, et les autres planètes tournent autour du Soleil.
Johannes Kepler utilisera ses observations de la trajectoire de Mars pour trouver les lois décrivant les orbites des planètes autour du Soleil.
Il est aussi pharmacien et il crée beaucoup de remèdes et d’élixirs.
À sa mort, il est le scientifique le plus populaire d’Europe.
",https://i.imgur.com/1qv2i09.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Galilée,0031,1564,1642,Italie,Europe,ASTRONOME,"Galilée est un mathématicien, physicien et astronome italien.
Il révolutionne l’astronomie en améliorant la lunette astronomique.
Grâce à la lunette astronomique, il découvre en particulier les anneaux de Saturne ainsi que les taches solaires.
Il fait aussi beaucoup expériences et pose les bases de la cinématique et de la dynamique. Il est considéré comme l’un des fondateurs de la physique.
Il défend l’héliocentrisme. Cette théorie, étant contraire aux idées religieuses de l’époque, sera finalement censurée (interdite).
Il piège l’Église en demandant d’approuver la publication d’un livre présentant le géocentrisme et l’héliocentrisme de façon neutre. Mais il ne montre que la préface et la conclusion. Une fois publié, l’Église découvre qu’il s’agit d’un plaidoyer en faveur de l’Héliocentrisme.
L’Église condamnera lourdement Galilée. 
",https://i.imgur.com/nlUeVCb.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Isaac Newton,0022,1642,1727,Angleterre,Europe,PHYSICIEN-NE,"Isaac Newton est un philosophe, mathématicien, physicien et astronome anglais.
Il est l’un des plus grands génies de l’histoire de l’humanité.
Il fonde la mécanique classique et découvre la théorie de la gravitation universelle : plus les corps sont proches et lourds, plus ils s’attirent.
La légende veut qu’il aurait compris la gravitation car une pomme lui était tombée sur la tête.
Sa théorie de la gravitation universelle fonctionne dans beaucoup de situations mais échoue à expliquer la précession du périhélie de Mercure, les trous noirs ainsi que la déviation de la lumière par des masses importantes comme les étoiles ou les galaxies.
Il découvre, à l’aide d’un prisme, que la lumière blanche est composée d’un spectre de lumières colorées.
Il s’oppose à Leibniz, un autre mathématicien, pour savoir qui est le premier à avoir découvert le calcul infinitésimal.
",https://upload.wikimedia.org/wikipedia/commons/3/39/GodfreyKneller-IsaacNewton-1689.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Albert Einstein,0023,1879,1955,Allemagne,Europe,PHYSICIEN-NE,"Albert Einstein est un physicien. Il est successivement allemand, apatride, suisse puis helvético-américain.
Il est l'un des plus grands scientifiques de l’Humanité.
Il révolutionne la mécanique grâce à sa théorie de la “relativité générale”. Elle dit que la gravitation est dûe à la courbure de l'espace-temps. Elle prédit l’expansion de l’Univers, les ondes gravitationnelles, les trous noirs et la déviation de la lumière par les corps massifs comme les trous noirs.
Il reçoit le prix Nobel pour son travail sur l’effet photoélectrique.
Il est aussi très connu pour son équation E=mc2, établissant une relation entre masse et énergie.
Enfant, il était rebelle et il était considéré comme un mauvais élève.
En 1933, sa maison est pillée par les nazis et il décide de ne plus rentrer en Allemagne.
Son nom et sa personne sont synonymes d'intelligence et de savoir.
",https://i.imgur.com/Ln2sM5n.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Ératosthène,0132,-276,-194,Grèce,Europe,PHILOSOPHE,"Ératosthène est un philosophe et un mathématicien grec.
Il est célèbre pour avoir utilisé une méthode purement géométrique pour calculer la circonférence de la Terre (qui est de 40'000 km environ). Il calcule une valeur extrêmement précise de 39'375 km, contrairement à Aristote qui l'avait estimée à environ 60'000 km. 
Mathématicien, il établit le crible d'Ératosthène, qui permet de trouver, par élimination successive, tous les nombres premiers, inférieurs à un entier donné.
On lui attribue l’invention du  mot géographie.
Il calcule la longueur de l'arc du méridien entre les deux tropiques. Cette valeur sera recalculée et validée 2'000 ans plus tard par l'académie française des sciences.
Il finira par se laisser mourir de faim, parce que, devenu aveugle, il ne pouvait plus admirer les étoiles.
",https://i.imgur.com/puPvHZ4.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
J. Gutenberg,0099,1400,1468,Allemagne,Europe,INVENTEUR-TRICE,"Johannes Gutenberg est un inventeur et un imprimeur allemand.
Il améliore l’imprimerie et invente les caractères métalliques mobiles.
Ces travaux sont déterminants pour la diffusion des livres, des textes et de la connaissance en Europe.
C’est en voyant fonctionner un pressoir à vin à Strasbourg qu’il trouve son nouveau procédé d’impression.
Au Moyen âge, peu de gens savaient lire et les livres étaient rares. En effet, ils sont reproduits dans les monastères par des moines copistes. Les illustrations sont réalisées par des moines spécialisés, les enlumineurs.
Sa nouvelle technique permet de produire 180 Bibles en 3 ans : c’est le temps qu’il faut à un moine pour en recopier une seule.
Il s’associe au début à un riche banquier nommé Johann Fust qui finance son invention. Mais les Bibles imprimées ne se vendent pas bien.
Johann Fust et lui se font un procès qu’il finira par perdre et sera ruiné.
",https://i.imgur.com/PZqG6Xl.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Alan Turing,2196,1912,1954,Royaume-Uni,Europe,MATHÉMATICIEN-NE,"Alan Turing est un mathématicien britannique.
Ses travaux fondent l'informatique de manière scientifique.
Durant la 2nde guerre mondiale, il déchiffre la machine Enigma, utilisée par l’armée allemande pour coder leurs messages. Pour y arriver, il crée une machine qui fait seule le travail de 10’000 personnes. Ceci permet de déchiffrer un message en 20 minutes, au lieu de 5 milliards d’années s’il fallait tester toutes les possibilités.
Grâce à ses travaux et à ses découvertes, il permet de raccourcir la guerre de 2 ans et de sauver 14 millions de personnes.
Il invente la machine de Turing. C’est un modèle abstrait du fonctionnement des ordinateurs qui permet de définir, en particulier, ce qu’est un algorithme.
Il invente le test de Turing qui permet de décider si une machine est intelligente ou pas en la faisant imiter la conversion humaine.",https://i.imgur.com/hLhsNvT.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Euclide,0035,Inconnue,vers -300,Grèce,Europe,MATHÉMATICIEN-NE,"Euclide est un mathématicien de la Grèce antique.
Il écrit “éléments de mathématiques”. Composé de 13 livres, c’est un des ouvrages les plus importants des mathématiques. Il est remarquable par sa forme déductive et son organisation systématique et progressive.
Dans cet ouvrage, il commence par énoncer des définitions (d’une ligne, d’un nombre premier, etc) puis en déduit de nouvelles propriétés.
Il écrit aussi les “Pseudaria” (“arguments fallacieux”). Cet ouvrage apprend aux débutants à détecter les raisonnements faux, mais qui pourtant semblent vrais. Il donne des exemples de paralogismes (raisonnement faux qui apparaît comme valide à son auteur) et de sophisme (raisonnement faux utilisé pour tromper).
Il s’intéresse aussi à l’astronomie, à l’optique, et à la musique.
Il n’existe aucune source directe d’informations sur la vie d’Euclide.
",https://upload.wikimedia.org/wikipedia/commons/8/8c/Euklid2.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Herodote,0032,-480,-425,Grèce,Europe,HISTORIEN-NE,"Hérodote est historien grec.
Cicéron (un homme politique romain) dit de lui qu’il est le “Père de l’Histoire”.
Il prétend rivaliser avec Homère. Mais plutôt que de chanter des exploits du passé, il préfère décrire des événements très récents.
Il est aussi considéré comme un des premiers géographes car il raconte les récits de ses voyages.
En particulier, il participe à l’élaboration de la liste des 7 merveilles du monde : la pyramide de Khéops à Gizeh en Égypte, les Jardins suspendus de Babylone en Mésopotamie, la statue de Zeus à Olympie en Grèce, le temple d'Artémis à Éphèse en Grèce, le mausolée d'Halicarnasse en Turquie, le colosse de Rhodes en Grèce et le phare d'Alexandrie en Égypte.
Il s’intéresse à la politique et écrit une critique des 3 grandes formes de gouvernement : la démocratie, l'aristocratie, et la monarchie.",https://i.imgur.com/nzKKp2e.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Thalès de Milet,0038,-625,-546,Grèce,Europe,PHILOSOPHE,"Thalès de Milet est un philosophe grec.
Il est l’un des 7 sages de la Grèce.
Il accomplit beaucoup d’exploits grâce aux mathématiques : il calcule la hauteur de la pyramide de Khéops et prédit une éclipse de soleil.
Il est le 1er à laisser son nom dans l'Histoire avec le théorème de Thalès.
Il est un des personnages les plus importants du raisonnement scientifique. 
Il est l’un des fondateurs de l’astronomie et l’un des premiers physiciens. Il découvre en particulier l’électricité ainsi que le magnétisme.
Selon lui, l'eau explique tout l'Univers. C’est à partir de l'eau que découlent les autres éléments : air, feu et terre. En particulier, la terre n’est que de l’eau condensée et l’air de l’eau raréfiée.
Il a une conception séduisante de l'Univers : celui-ci serait une moitié de bulle d'air avec le ciel et une Terre plate, flottant sur l'eau.",https://i.imgur.com/v7xLTnq.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
